outputA/bonsai, test, iter_-1, 300.64
outputA/counter, test, iter_-1, 235.99
outputA/data_bicycle, test, iter_-1, 214.98
outputA/data_drjohnson, test, iter_-1, 254.89
outputA/data_tank, test, iter_-1, 239.74
outputA/data_treehill, test, iter_-1, 250.40
outputA/flowers, test, iter_-1, 262.12
outputA/garden, test, iter_-1, 234.21
outputA/kitchen, test, iter_-1, 219.85
outputA/playroom, test, iter_-1, 326.12
outputA/room, test, iter_-1, 269.39
outputA/stump, test, iter_-1, 258.03
outputA/train, test, iter_-1, 301.18
outputA/bonsai, test, iter_-1, 338.15
outputA/counter, test, iter_-1, 253.42
outputA/data_bicycle, test, iter_-1, 260.15
outputA/data_drjohnson, test, iter_-1, 339.80
outputA/data_treehill, test, iter_-1, 291.93
outputA/data_truck, test, iter_-1, 283.37
outputA/flowers, test, iter_-1, 302.32
outputA/garden, test, iter_-1, 278.21
outputA/kitchen, test, iter_-1, 273.01
outputA/playroom, test, iter_-1, 421.12
outputA/room, test, iter_-1, 324.66
outputA/stump, test, iter_-1, 295.28
outputA/train, test, iter_-1, 347.21
outputA/bonsai, test, iter_-1, 324.86
outputA/counter, test, iter_-1, 270.16
outputA/data_bicycle, test, iter_-1, 256.92
outputA/data_drjohnson, test, iter_-1, 334.89
outputA/data_treehill, test, iter_-1, 287.51
outputA/data_truck, test, iter_-1, 253.19
outputA/flowers, test, iter_-1, 291.16
outputA/garden, test, iter_-1, 276.59
outputA/kitchen, test, iter_-1, 265.20
outputA/playroom, test, iter_-1, 401.90
outputA/room, test, iter_-1, 302.15
outputA/stump, test, iter_-1, 274.34
outputA/train, test, iter_-1, 320.33
outputA/bonsai, test, iter_-1, 335.39
outputA/counter, test, iter_-1, 273.21
outputA/data_bicycle, test, iter_-1, 246.75
outputA/data_drjohnson, test, iter_-1, 322.27
outputA/data_treehill, test, iter_-1, 283.52
outputA/data_truck, test, iter_-1, 280.26
outputA/flowers, test, iter_-1, 291.11
outputA/garden, test, iter_-1, 268.22
outputA/kitchen, test, iter_-1, 265.08
outputA/playroom, test, iter_-1, 404.02
outputA/room, test, iter_-1, 322.93
outputA/stump, test, iter_-1, 284.42
outputA/train, test, iter_-1, 327.31
output4/Test, test, iter_-1, 254.26
outputA/bonsai, test, iter_-1, 378.79
outputA/counter, test, iter_-1, 336.86
outputA/data_bicycle, test, iter_-1, 323.17
outputA/data_drjohnson, test, iter_-1, 447.36
outputA/data_treehill, test, iter_-1, 340.47
outputA/data_truck, test, iter_-1, 319.18
outputA/flowers, test, iter_-1, 325.56
outputA/garden, test, iter_-1, 326.94
outputA/kitchen, test, iter_-1, 325.97
outputA/playroom, test, iter_-1, 422.07
outputA/room, test, iter_-1, 362.30
outputA/stump, test, iter_-1, 341.79
outputA/train, test, iter_-1, 345.64
outputA/bonsai, test, iter_-1, 362.55
outputA/counter, test, iter_-1, 297.17
outputA/data_bicycle, test, iter_-1, 294.83
outputA/data_drjohnson, test, iter_-1, 401.93
outputA/data_treehill, test, iter_-1, 331.81
outputA/data_truck, test, iter_-1, 329.19
outputA/flowers, test, iter_-1, 315.25
outputA/garden, test, iter_-1, 334.30
outputA/kitchen, test, iter_-1, 287.78
outputA/playroom, test, iter_-1, 431.74
outputA/room, test, iter_-1, 339.49
outputA/stump, test, iter_-1, 337.71
outputA/train, test, iter_-1, 374.24
outputA/bonsai, test, iter_-1, 323.46
outputA/counter, test, iter_-1, 266.27
outputA/data_bicycle, test, iter_-1, 252.48
outputA/data_drjohnson, test, iter_-1, 323.59
outputA/data_treehill, test, iter_-1, 279.18
outputA/data_truck, test, iter_-1, 271.10
outputA/flowers, test, iter_-1, 294.36
outputA/garden, test, iter_-1, 262.76
outputA/kitchen, test, iter_-1, 266.89
outputA/playroom, test, iter_-1, 360.96
outputA/room, test, iter_-1, 320.62
outputA/stump, test, iter_-1, 290.94
outputA/train, test, iter_-1, 339.70
outputA/bonsai, test, iter_-1, 332.80
outputA/counter, test, iter_-1, 257.16
outputA/data_bicycle, test, iter_-1, 257.96
outputA/data_drjohnson, test, iter_-1, 303.85
outputA/data_treehill, test, iter_-1, 277.65
outputA/data_truck, test, iter_-1, 279.00
outputA/flowers, test, iter_-1, 282.43
outputA/garden, test, iter_-1, 267.51
outputA/kitchen, test, iter_-1, 242.57
outputA/playroom, test, iter_-1, 361.24
outputA/room, test, iter_-1, 316.60
outputA/stump, test, iter_-1, 283.47
outputA/train, test, iter_-1, 308.09
output4/Test, test, iter_-1, 389.65
output4/Test, test, iter_-1, 379.04
output4/Test, test, iter_-1, 390.46
output4/Test, test, iter_-1, 390.00
outputB/amsterdam, test, iter_-1, 204.74
outputB/barcelona, test, iter_-1, 219.58
outputB/bilbao, test, iter_-1, 193.91
outputB/chair, test, iter_-1, 393.01
outputB/chicago, test, iter_-1, 209.76
outputB/drums, test, iter_-1, 439.18
outputB/ficus, test, iter_-1, 443.54
outputB/hollywood, test, iter_-1, 212.62
outputB/hotdog, test, iter_-1, 440.36
outputB/lego, test, iter_-1, 418.42
outputB/materials, test, iter_-1, 538.87
outputB/mic, test, iter_-1, 453.88
outputB/pompidou, test, iter_-1, 202.22
outputB/quebec, test, iter_-1, 220.08
outputB/rome, test, iter_-1, 207.46
outputB/ship, test, iter_-1, 443.59
output4/Test, test, iter_-1, 394.98
output4/Test, test, iter_-1, 185.37
output4/Test, test, iter_-1, 396.47
output4/Test, test, iter_-1, 423.93
output4/Test, test, iter_-1, 383.38
output4/Test, test, iter_-1, 368.16
output4/Test, test, iter_-1, 389.64
output4/Test, test, iter_-1, 319.90
output4/Test, test, iter_-1, 322.64
output4/Test, test, iter_-1, 316.82
output4/Test, test, iter_-1, 392.59
outputA/bonsai, test, iter_-1, 365.33
outputA/counter, test, iter_-1, 303.37
outputA/data_bicycle, test, iter_-1, 295.08
outputA/data_drjohnson, test, iter_-1, 398.76
outputA/data_treehill, test, iter_-1, 287.30
outputA/data_truck, test, iter_-1, 308.65
outputA/flowers, test, iter_-1, 327.90
outputA/garden, test, iter_-1, 257.23
outputA/kitchen, test, iter_-1, 306.73
outputA/playroom, test, iter_-1, 460.95
outputA/room, test, iter_-1, 355.38
outputA/stump, test, iter_-1, 326.77
outputA/train, test, iter_-1, 366.93
outputA/bonsai, test, iter_-1, 369.36
outputA/counter, test, iter_-1, 315.61
outputA/data_bicycle, test, iter_-1, 316.98
outputA/data_drjohnson, test, iter_-1, 408.59
outputA/data_treehill, test, iter_-1, 327.72
outputA/data_truck, test, iter_-1, 328.32
outputA/flowers, test, iter_-1, 322.89
outputA/garden, test, iter_-1, 325.16
outputA/kitchen, test, iter_-1, 308.17
outputA/playroom, test, iter_-1, 448.18
outputA/room, test, iter_-1, 366.42
outputA/stump, test, iter_-1, 322.61
outputA/train, test, iter_-1, 348.49
outputA/bonsai, test, iter_-1, 368.46
outputA/counter, test, iter_-1, 315.57
outputA/data_bicycle, test, iter_-1, 319.16
outputA/data_drjohnson, test, iter_-1, 418.45
outputA/data_treehill, test, iter_-1, 341.58
outputA/data_truck, test, iter_-1, 315.32
outputA/flowers, test, iter_-1, 332.70
outputA/garden, test, iter_-1, 332.41
outputA/kitchen, test, iter_-1, 324.31
outputA/playroom, test, iter_-1, 442.50
outputA/room, test, iter_-1, 375.50
outputA/stump, test, iter_-1, 343.24
outputA/train, test, iter_-1, 389.16
outputA/bonsai, test, iter_-1, 320.04
outputA/counter, test, iter_-1, 256.88
outputA/data_bicycle, test, iter_-1, 235.16
outputA/data_drjohnson, test, iter_-1, 322.07
outputA/data_treehill, test, iter_-1, 270.10
outputA/data_truck, test, iter_-1, 262.82
outputA/flowers, test, iter_-1, 290.13
outputA/garden, test, iter_-1, 266.82
outputA/kitchen, test, iter_-1, 252.59
outputA/playroom, test, iter_-1, 394.24
outputA/room, test, iter_-1, 316.10
outputA/stump, test, iter_-1, 279.63
outputA/train, test, iter_-1, 324.00
outputA/bonsai, test, iter_-1, 311.19
outputA/counter, test, iter_-1, 244.30
outputA/data_bicycle, test, iter_-1, 239.74
outputA/data_drjohnson, test, iter_-1, 312.92
outputA/data_treehill, test, iter_-1, 245.93
outputA/data_truck, test, iter_-1, 244.16
outputA/flowers, test, iter_-1, 285.54
outputA/garden, test, iter_-1, 254.87
outputA/kitchen, test, iter_-1, 222.91
outputA/playroom, test, iter_-1, 387.40
outputA/room, test, iter_-1, 297.24
outputA/stump, test, iter_-1, 286.50
outputA/train, test, iter_-1, 313.71
outputA/data_truck, test, iter_-1, 232.89
outputA/train, test, iter_-1, 308.12
outputA/data_truck, test, iter_-1, 226.06
outputA/train, test, iter_-1, 289.84
outputA/data_truck, test, iter_-1, 228.49
outputA/train, test, iter_-1, 306.31
outputA/data_truck, test, iter_-1, 221.95
outputA/train, test, iter_-1, 296.20
outputA/data_truck, test, iter_-1, 213.26
outputA/train, test, iter_-1, 294.09
outputA/data_truck, test, iter_-1, 218.78
outputA/train, test, iter_-1, 289.78
outputA/data_truck, test, iter_-1, 217.95
outputA/train, test, iter_-1, 295.53
outputA/train, test, iter_-1, 222.98
outputA/bonsai, test, iter_-1, 280.31
outputA/counter, test, iter_-1, 227.84
outputA/data_bicycle, test, iter_-1, 222.87
